gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,total_score,score_difference,pass
male,group B,high school,free/reduced,none,49,45,45,46.333333333333336,139,-4,1
male,group A,some college,free/reduced,completed,50,47,54,50.333333333333336,151,-3,1
male,group E,associate's degree,standard,none,72,64,63,66.33333333333333,199,-8,1
male,group D,high school,free/reduced,none,42,39,34,38.333333333333336,115,-3,0
female,group C,some college,standard,none,73,80,82,78.33333333333333,235,7,1
female,group C,some college,free/reduced,none,76,83,88,82.33333333333333,247,7,1
female,group D,associate's degree,standard,none,71,71,74,72.0,216,0,1
female,group A,some college,standard,none,58,70,67,65.0,195,12,1
female,group D,some high school,standard,none,73,86,82,80.33333333333333,241,13,1
female,group C,bachelor's degree,standard,none,65,72,74,70.33333333333333,211,7,1
male,group C,high school,free/reduced,none,27,34,36,32.333333333333336,97,7,0
male,group C,high school,standard,none,71,79,71,73.66666666666667,221,8,1
male,group C,associate's degree,free/reduced,completed,43,45,50,46.0,138,2,1
female,group B,some college,standard,none,79,86,92,85.66666666666667,257,7,1
male,group C,associate's degree,free/reduced,completed,78,81,82,80.33333333333333,241,3,1
male,group B,some high school,standard,completed,65,66,62,64.33333333333333,193,1,1
female,group E,some college,standard,completed,63,72,70,68.33333333333333,205,9,1
female,group D,some college,free/reduced,none,58,67,62,62.333333333333336,187,9,1
female,group D,bachelor's degree,standard,none,65,67,62,64.66666666666667,194,2,1
male,group B,some college,standard,none,79,67,67,71.0,213,-12,1
male,group D,bachelor's degree,standard,completed,68,74,74,72.0,216,6,1
female,group D,associate's degree,standard,none,85,91,89,88.33333333333333,265,6,1
male,group B,high school,standard,completed,60,44,47,50.333333333333336,151,-16,1
male,group C,some college,standard,completed,98,86,90,91.33333333333333,274,-12,1
female,group C,some college,standard,none,58,67,72,65.66666666666667,197,9,1
female,group D,master's degree,standard,none,87,100,100,95.66666666666667,287,13,1
male,group E,associate's degree,standard,completed,66,63,64,64.33333333333333,193,-3,1
female,group B,associate's degree,free/reduced,none,52,76,70,66.0,198,24,1
female,group B,some high school,standard,none,70,64,72,68.66666666666667,206,-6,1
female,group D,associate's degree,free/reduced,completed,77,89,98,88.0,264,12,1
male,group C,high school,standard,none,62,55,49,55.333333333333336,166,-7,1
male,group A,associate's degree,standard,none,54,53,47,51.333333333333336,154,-1,1
female,group D,some college,standard,none,51,58,54,54.333333333333336,163,7,1
female,group E,bachelor's degree,standard,completed,99,100,100,99.66666666666667,299,1,1
male,group C,high school,standard,none,84,77,74,78.33333333333333,235,-7,1
female,group B,bachelor's degree,free/reduced,none,75,85,82,80.66666666666667,242,10,1
female,group D,bachelor's degree,standard,none,78,82,79,79.66666666666667,239,4,1
female,group D,some high school,standard,none,51,63,61,58.333333333333336,175,12,1
female,group C,some college,standard,none,55,69,65,63.0,189,14,1
female,group C,bachelor's degree,standard,completed,79,92,89,86.66666666666667,260,13,1
male,group B,associate's degree,standard,completed,91,89,92,90.66666666666667,272,-2,1
female,group C,some college,standard,completed,88,93,93,91.33333333333333,274,5,1
male,group D,high school,free/reduced,none,63,57,56,58.666666666666664,176,-6,1
male,group E,some college,standard,none,83,80,73,78.66666666666667,236,-3,1
female,group B,high school,standard,none,87,95,86,89.33333333333333,268,8,1
male,group B,some high school,standard,none,72,68,67,69.0,207,-4,1
male,group D,some college,standard,completed,65,77,74,72.0,216,12,1
male,group D,master's degree,standard,none,82,82,74,79.33333333333333,238,0,1
female,group A,bachelor's degree,standard,none,51,49,51,50.333333333333336,151,-2,1
male,group D,master's degree,standard,none,89,84,82,85.0,255,-5,1
male,group C,some high school,free/reduced,completed,53,37,40,43.333333333333336,130,-16,0
male,group E,some college,free/reduced,completed,87,74,70,77.0,231,-13,1
female,group C,some college,standard,completed,75,81,84,80.0,240,6,1
male,group D,bachelor's degree,free/reduced,completed,74,79,75,76.0,228,5,1
male,group C,bachelor's degree,standard,none,58,55,48,53.666666666666664,161,-3,1
male,group B,some high school,standard,completed,51,54,41,48.666666666666664,146,3,1
male,group E,high school,standard,none,70,55,56,60.333333333333336,181,-15,1
female,group C,associate's degree,standard,none,59,66,67,64.0,192,7,1
male,group D,some college,standard,completed,71,61,69,67.0,201,-10,1
female,group D,some high school,standard,none,76,72,71,73.0,219,-4,1
female,group C,some college,free/reduced,none,59,62,64,61.666666666666664,185,3,1
female,group E,some college,free/reduced,completed,42,55,54,50.333333333333336,151,13,1
male,group A,high school,standard,none,57,43,47,49.0,147,-14,1
male,group D,some college,standard,none,88,73,78,79.66666666666667,239,-15,1
female,group C,some college,free/reduced,none,22,39,33,31.333333333333332,94,17,0
male,group B,some high school,standard,none,88,84,75,82.33333333333333,247,-4,1
male,group C,associate's degree,free/reduced,none,73,68,66,69.0,207,-5,1
female,group D,bachelor's degree,standard,completed,68,75,81,74.66666666666667,224,7,1
male,group E,associate's degree,free/reduced,completed,100,100,93,97.66666666666667,293,0,1
male,group A,some high school,standard,completed,62,67,69,66.0,198,5,1
male,group A,bachelor's degree,standard,none,77,67,68,70.66666666666667,212,-10,1
female,group B,associate's degree,standard,completed,59,70,66,65.0,195,11,1
male,group D,bachelor's degree,standard,none,54,49,47,50.0,150,-5,1
male,group D,some high school,standard,none,62,67,61,63.333333333333336,190,5,1
female,group C,some college,standard,completed,70,89,88,82.33333333333333,247,19,1
female,group E,high school,free/reduced,completed,66,74,78,72.66666666666667,218,8,1
male,group B,some college,free/reduced,none,60,60,60,60.0,180,0,1
female,group B,associate's degree,standard,completed,61,86,87,78.0,234,25,1
male,group D,associate's degree,free/reduced,none,66,62,64,64.0,192,-4,1
male,group B,associate's degree,free/reduced,completed,82,78,74,78.0,234,-4,1
female,group E,some college,free/reduced,completed,75,88,85,82.66666666666667,248,13,1
male,group B,master's degree,free/reduced,none,49,53,52,51.333333333333336,154,4,1
male,group C,high school,standard,none,52,53,49,51.333333333333336,154,1,1
female,group E,master's degree,standard,none,81,92,91,88.0,264,11,1
female,group C,bachelor's degree,standard,completed,96,100,100,98.66666666666667,296,4,1
male,group C,high school,free/reduced,completed,53,51,51,51.666666666666664,155,-2,1
female,group B,master's degree,free/reduced,completed,58,76,78,70.66666666666667,212,18,1
female,group B,high school,standard,completed,68,83,78,76.33333333333333,229,15,1
female,group C,some college,free/reduced,completed,67,75,70,70.66666666666667,212,8,1
male,group A,high school,standard,completed,72,73,74,73.0,219,1,1
male,group E,some high school,standard,none,94,88,78,86.66666666666667,260,-6,1
female,group D,some college,standard,none,79,86,81,82.0,246,7,1
female,group C,associate's degree,standard,none,63,67,70,66.66666666666667,200,4,1
female,group C,bachelor's degree,free/reduced,completed,43,51,54,49.333333333333336,148,8,1
female,group C,master's degree,standard,completed,81,91,87,86.33333333333333,259,10,1
female,group B,high school,free/reduced,completed,46,54,58,52.666666666666664,158,8,1
female,group C,associate's degree,standard,completed,71,77,77,75.0,225,6,1
female,group B,master's degree,free/reduced,completed,52,70,62,61.333333333333336,184,18,1
female,group D,some high school,standard,completed,97,100,100,99.0,297,3,1
male,group C,master's degree,free/reduced,completed,62,68,75,68.33333333333333,205,6,1
female,group C,some college,free/reduced,none,46,64,66,58.666666666666664,176,18,1
female,group E,high school,standard,none,50,50,47,49.0,147,0,1
female,group D,associate's degree,standard,none,65,69,70,68.0,204,4,1
male,group C,some high school,free/reduced,completed,45,52,49,48.666666666666664,146,7,1
male,group C,associate's degree,free/reduced,completed,65,67,65,65.66666666666667,197,2,1
male,group E,high school,standard,none,80,76,65,73.66666666666667,221,-4,1
male,group D,some high school,standard,completed,62,66,68,65.33333333333333,196,4,1
male,group B,some high school,free/reduced,none,48,52,45,48.333333333333336,145,4,1
female,group C,bachelor's degree,standard,none,77,88,87,84.0,252,11,1
female,group E,associate's degree,standard,none,66,65,69,66.66666666666667,200,-1,1
male,group D,some college,standard,completed,76,83,79,79.33333333333333,238,7,1
female,group B,some high school,standard,none,62,64,66,64.0,192,2,1
male,group D,some college,standard,completed,77,62,62,67.0,201,-15,1
female,group C,master's degree,standard,completed,69,84,85,79.33333333333333,238,15,1
male,group D,associate's degree,standard,none,61,55,52,56.0,168,-6,1
male,group C,some high school,free/reduced,completed,59,69,65,64.33333333333333,193,10,1
male,group E,high school,free/reduced,none,55,56,51,54.0,162,1,1
female,group B,some college,free/reduced,none,45,53,55,51.0,153,8,1
female,group B,bachelor's degree,free/reduced,none,78,79,76,77.66666666666667,233,1,1
female,group C,associate's degree,standard,completed,67,84,86,79.0,237,17,1
female,group D,some college,free/reduced,none,65,81,77,74.33333333333333,223,16,1
male,group C,associate's degree,standard,none,69,77,69,71.66666666666667,215,8,1
female,group B,associate's degree,standard,none,57,69,68,64.66666666666667,194,12,1
male,group C,some college,standard,none,59,41,42,47.333333333333336,142,-18,1
male,group D,some high school,standard,completed,74,71,78,74.33333333333333,223,-3,1
male,group E,bachelor's degree,standard,none,82,62,62,68.66666666666667,206,-20,1
male,group E,high school,standard,completed,81,80,76,79.0,237,-1,1
female,group B,some college,free/reduced,none,74,81,76,77.0,231,7,1
female,group B,some college,free/reduced,none,58,61,66,61.666666666666664,185,3,1
male,group D,some high school,free/reduced,completed,80,79,79,79.33333333333333,238,-1,1
male,group C,some college,free/reduced,none,35,28,27,30.0,90,-7,0
female,group C,high school,free/reduced,none,42,62,60,54.666666666666664,164,20,1
male,group C,associate's degree,free/reduced,completed,60,51,56,55.666666666666664,167,-9,1
male,group E,high school,standard,completed,87,91,81,86.33333333333333,259,4,1
male,group B,some high school,standard,completed,84,83,75,80.66666666666667,242,-1,1
female,group E,associate's degree,free/reduced,completed,83,86,88,85.66666666666667,257,3,1
female,group C,high school,free/reduced,none,34,42,39,38.333333333333336,115,8,0
male,group B,high school,free/reduced,none,66,77,70,71.0,213,11,1
male,group B,some high school,standard,completed,61,56,56,57.666666666666664,173,-5,1
female,group D,high school,standard,completed,56,68,74,66.0,198,12,1
male,group B,associate's degree,standard,none,87,85,73,81.66666666666667,245,-2,1
female,group C,some high school,free/reduced,none,55,65,62,60.666666666666664,182,10,1
male,group D,some high school,standard,none,86,80,75,80.33333333333333,241,-6,1
female,group B,associate's degree,standard,completed,52,66,73,63.666666666666664,191,14,1
female,group E,master's degree,free/reduced,none,45,56,54,51.666666666666664,155,11,1
female,group C,some college,standard,none,72,72,71,71.66666666666667,215,0,1
male,group D,high school,standard,none,57,50,54,53.666666666666664,161,-7,1
male,group A,some high school,free/reduced,none,68,72,64,68.0,204,4,1
female,group C,some college,standard,completed,88,95,94,92.33333333333333,277,7,1
male,group D,some college,standard,none,76,64,66,68.66666666666667,206,-12,1
male,group C,associate's degree,standard,none,46,43,42,43.666666666666664,131,-3,1
female,group B,bachelor's degree,standard,none,67,86,83,78.66666666666667,236,19,1
male,group E,some high school,standard,none,92,87,78,85.66666666666667,257,-5,1
male,group C,bachelor's degree,standard,completed,83,82,84,83.0,249,-1,1
male,group D,associate's degree,standard,none,80,75,77,77.33333333333333,232,-5,1
male,group D,bachelor's degree,free/reduced,none,63,66,67,65.33333333333333,196,3,1
female,group D,some high school,standard,completed,64,60,74,66.0,198,-4,1
male,group B,some college,standard,none,54,52,51,52.333333333333336,157,-2,1
male,group C,associate's degree,standard,none,84,80,80,81.33333333333333,244,-4,1
male,group D,high school,free/reduced,completed,73,68,66,69.0,207,-5,1
female,group E,bachelor's degree,standard,none,80,83,83,82.0,246,3,1
female,group D,high school,standard,none,56,52,55,54.333333333333336,163,-4,1
male,group E,some college,standard,none,59,51,43,51.0,153,-8,1
male,group D,some high school,standard,none,75,74,69,72.66666666666667,218,-1,1
male,group C,associate's degree,standard,none,85,76,71,77.33333333333333,232,-9,1
male,group E,associate's degree,standard,none,89,76,74,79.66666666666667,239,-13,1
female,group B,high school,standard,completed,58,70,68,65.33333333333333,196,12,1
female,group B,high school,standard,none,65,64,62,63.666666666666664,191,-1,1
male,group C,high school,standard,none,68,60,53,60.333333333333336,181,-8,1
male,group A,some high school,standard,completed,47,49,49,48.333333333333336,145,2,1
female,group D,some college,free/reduced,none,71,83,83,79.0,237,12,1
female,group B,some high school,standard,completed,60,70,70,66.66666666666667,200,10,1
male,group D,master's degree,standard,none,80,80,72,77.33333333333333,232,0,1
male,group D,high school,standard,none,54,52,52,52.666666666666664,158,-2,1
female,group E,some college,standard,none,62,73,70,68.33333333333333,205,11,1
female,group C,associate's degree,free/reduced,none,64,73,68,68.33333333333333,205,9,1
male,group C,associate's degree,standard,completed,78,77,77,77.33333333333333,232,-1,1
female,group B,some college,standard,none,70,75,78,74.33333333333333,223,5,1
female,group C,master's degree,free/reduced,completed,65,81,81,75.66666666666667,227,16,1
female,group C,some high school,free/reduced,completed,64,79,77,73.33333333333333,220,15,1
male,group C,some college,standard,completed,79,79,78,78.66666666666667,236,0,1
female,group C,some high school,free/reduced,none,44,50,51,48.333333333333336,145,6,1
female,group E,high school,standard,none,99,93,90,94.0,282,-6,1
male,group D,high school,standard,none,76,73,68,72.33333333333333,217,-3,1
male,group D,some high school,free/reduced,none,59,42,41,47.333333333333336,142,-17,1
female,group C,bachelor's degree,standard,none,63,75,81,73.0,219,12,1
female,group D,high school,standard,none,69,72,77,72.66666666666667,218,3,1
female,group D,associate's degree,standard,completed,88,92,95,91.66666666666667,275,4,1
female,group E,some college,free/reduced,none,71,76,70,72.33333333333333,217,5,1
male,group C,bachelor's degree,standard,none,69,63,61,64.33333333333333,193,-6,1
male,group C,some college,standard,none,58,49,42,49.666666666666664,149,-9,1
female,group D,associate's degree,free/reduced,none,47,53,58,52.666666666666664,158,6,1
female,group D,some college,standard,none,65,70,71,68.66666666666667,206,5,1
male,group B,some college,standard,completed,88,85,76,83.0,249,-3,1
male,group C,bachelor's degree,standard,none,83,78,73,78.0,234,-5,1
female,group C,some high school,standard,completed,85,92,93,90.0,270,7,1
female,group E,high school,standard,completed,59,63,75,65.66666666666667,197,4,1
female,group C,some high school,free/reduced,none,65,86,80,77.0,231,21,1
male,group B,bachelor's degree,free/reduced,none,73,56,57,62.0,186,-17,1
male,group D,high school,standard,none,53,52,42,49.0,147,-1,1
male,group D,high school,standard,none,45,48,46,46.333333333333336,139,3,1
female,group D,bachelor's degree,free/reduced,none,73,79,84,78.66666666666667,236,6,1
female,group D,some college,free/reduced,completed,70,78,78,75.33333333333333,226,8,1
female,group B,some high school,standard,none,37,46,46,43.0,129,9,0
male,group B,associate's degree,standard,completed,81,82,82,81.66666666666667,245,1,1
male,group E,associate's degree,standard,completed,97,82,88,89.0,267,-15,1
female,group B,some high school,standard,none,67,89,82,79.33333333333333,238,22,1
male,group B,bachelor's degree,free/reduced,none,88,75,76,79.66666666666667,239,-13,1
male,group E,some high school,standard,completed,77,76,77,76.66666666666667,230,-1,1
male,group C,associate's degree,standard,none,76,70,68,71.33333333333333,214,-6,1
male,group D,some high school,standard,none,86,73,70,76.33333333333333,229,-13,1
male,group C,some high school,standard,completed,63,60,57,60.0,180,-3,1
female,group E,bachelor's degree,standard,none,65,73,75,71.0,213,8,1
male,group D,high school,free/reduced,completed,78,77,80,78.33333333333333,235,-1,1
male,group B,associate's degree,free/reduced,none,67,62,60,63.0,189,-5,1
male,group A,some high school,standard,completed,46,41,43,43.333333333333336,130,-5,1
male,group E,associate's degree,standard,completed,71,74,68,71.0,213,3,1
male,group C,high school,free/reduced,completed,40,46,50,45.333333333333336,136,6,1
male,group D,associate's degree,free/reduced,none,90,87,75,84.0,252,-3,1
male,group A,some college,free/reduced,completed,81,78,81,80.0,240,-3,1
male,group D,some high school,free/reduced,none,56,54,52,54.0,162,-2,1
female,group C,associate's degree,standard,completed,67,84,81,77.33333333333333,232,17,1
male,group B,associate's degree,standard,none,80,76,64,73.33333333333333,220,-4,1
female,group C,associate's degree,standard,completed,74,75,83,77.33333333333333,232,1,1
male,group A,some college,standard,none,69,67,69,68.33333333333333,205,-2,1
male,group E,some college,standard,completed,99,87,81,89.0,267,-12,1
male,group C,some high school,standard,none,51,52,44,49.0,147,1,1
female,group B,associate's degree,free/reduced,none,53,71,67,63.666666666666664,191,18,1
female,group D,high school,free/reduced,none,49,57,52,52.666666666666664,158,8,1
female,group B,associate's degree,standard,none,73,76,80,76.33333333333333,229,3,1
male,group B,bachelor's degree,standard,none,66,60,57,61.0,183,-6,1
male,group D,bachelor's degree,standard,completed,67,61,68,65.33333333333333,196,-6,1
female,group C,associate's degree,free/reduced,completed,68,67,69,68.0,204,-1,1
female,group C,bachelor's degree,standard,completed,59,64,75,66.0,198,5,1
male,group C,high school,standard,none,71,66,65,67.33333333333333,202,-5,1
female,group D,master's degree,standard,completed,77,82,91,83.33333333333333,250,5,1
male,group C,associate's degree,standard,none,83,72,78,77.66666666666667,233,-11,1
male,group B,bachelor's degree,standard,none,63,71,69,67.66666666666667,203,8,1
female,group D,associate's degree,free/reduced,none,56,65,63,61.333333333333336,184,9,1
female,group C,high school,free/reduced,completed,67,79,84,76.66666666666667,230,12,1
female,group E,high school,standard,none,75,86,79,80.0,240,11,1
female,group C,some college,standard,none,71,81,80,77.33333333333333,232,10,1
female,group C,some high school,free/reduced,none,43,53,53,49.666666666666664,149,10,1
female,group C,high school,free/reduced,none,41,46,43,43.333333333333336,130,5,1
female,group C,some college,standard,none,82,90,94,88.66666666666667,266,8,1
male,group C,some college,standard,none,61,61,62,61.333333333333336,184,0,1
male,group A,some college,free/reduced,none,28,23,19,23.333333333333332,70,-5,0
male,group C,associate's degree,standard,completed,82,75,77,78.0,234,-7,1
female,group B,some high school,standard,none,41,55,51,49.0,147,14,1
male,group C,high school,standard,none,71,60,61,64.0,192,-11,1
male,group C,associate's degree,standard,none,47,37,35,39.666666666666664,119,-10,0
male,group E,associate's degree,standard,completed,62,56,53,57.0,171,-6,1
male,group B,associate's degree,standard,none,90,78,81,83.0,249,-12,1
female,group C,bachelor's degree,standard,none,83,93,95,90.33333333333333,271,10,1
female,group B,some college,free/reduced,none,61,68,66,65.0,195,7,1
male,group D,some high school,standard,completed,76,70,69,71.66666666666667,215,-6,1
male,group C,associate's degree,standard,none,49,51,43,47.666666666666664,143,2,1
female,group B,some high school,free/reduced,none,24,38,27,29.666666666666668,89,14,0
female,group D,some high school,free/reduced,completed,35,55,60,50.0,150,20,0
male,group C,high school,free/reduced,none,58,61,52,57.0,171,3,1
female,group C,high school,standard,none,61,73,63,65.66666666666667,197,12,1
female,group B,high school,standard,completed,69,76,74,73.0,219,7,1
male,group D,associate's degree,standard,completed,67,72,67,68.66666666666667,206,5,1
male,group D,some college,standard,none,79,73,67,73.0,219,-6,1
female,group C,high school,standard,none,72,80,75,75.66666666666667,227,8,1
male,group B,some college,standard,none,62,61,57,60.0,180,-1,1
female,group C,bachelor's degree,standard,completed,77,94,95,88.66666666666667,266,17,1
male,group D,high school,free/reduced,none,75,74,66,71.66666666666667,215,-1,1
male,group E,associate's degree,standard,none,87,74,76,79.0,237,-13,1
female,group B,bachelor's degree,standard,none,52,65,69,62.0,186,13,1
male,group E,some college,standard,none,66,57,52,58.333333333333336,175,-9,1
female,group C,some college,standard,completed,63,78,80,73.66666666666667,221,15,1
female,group C,associate's degree,standard,none,46,58,57,53.666666666666664,161,12,1
female,group C,some college,standard,none,59,71,70,66.66666666666667,200,12,1
female,group B,bachelor's degree,standard,none,61,72,70,67.66666666666667,203,11,1
male,group A,associate's degree,standard,none,63,61,61,61.666666666666664,185,-2,1
female,group C,some college,free/reduced,completed,42,66,69,59.0,177,24,1
male,group D,some college,free/reduced,none,59,62,61,60.666666666666664,182,3,1
female,group D,some college,standard,none,80,90,89,86.33333333333333,259,10,1
female,group B,high school,standard,none,58,62,59,59.666666666666664,179,4,1
male,group B,some high school,standard,completed,85,84,78,82.33333333333333,247,-1,1
female,group C,some college,standard,none,52,58,58,56.0,168,6,1
female,group D,some high school,free/reduced,none,27,34,32,31.0,93,7,0
male,group C,some college,standard,none,59,60,58,59.0,177,1,1
male,group A,bachelor's degree,free/reduced,completed,49,58,60,55.666666666666664,167,9,1
male,group C,high school,standard,completed,69,58,53,60.0,180,-11,1
male,group C,bachelor's degree,free/reduced,none,61,66,61,62.666666666666664,188,5,1
female,group A,some high school,free/reduced,none,44,64,58,55.333333333333336,166,20,1
female,group D,some high school,standard,none,73,84,85,80.66666666666667,242,11,1
male,group E,some college,standard,none,84,77,71,77.33333333333333,232,-7,1
female,group C,some college,free/reduced,completed,45,73,70,62.666666666666664,188,28,1
male,group D,some high school,standard,none,74,74,72,73.33333333333333,220,0,1
female,group D,some college,standard,completed,82,97,96,91.66666666666667,275,15,1
female,group D,bachelor's degree,standard,none,59,70,73,67.33333333333333,202,11,1
male,group E,associate's degree,free/reduced,none,46,43,41,43.333333333333336,130,-3,1
female,group D,some high school,standard,none,80,90,82,84.0,252,10,1
female,group D,master's degree,free/reduced,completed,85,95,100,93.33333333333333,280,10,1
female,group A,some high school,standard,none,71,83,77,77.0,231,12,1
male,group A,bachelor's degree,standard,none,66,64,62,64.0,192,-2,1
female,group B,associate's degree,standard,none,80,86,83,83.0,249,6,1
male,group C,associate's degree,standard,completed,87,100,95,94.0,282,13,1
male,group C,master's degree,free/reduced,none,79,81,71,77.0,231,2,1
female,group E,some high school,free/reduced,none,38,49,45,44.0,132,11,0
female,group A,some high school,free/reduced,none,38,43,43,41.333333333333336,124,5,0
female,group E,some college,standard,none,67,76,75,72.66666666666667,218,9,1
female,group E,bachelor's degree,standard,none,64,73,70,69.0,207,9,1
female,group C,associate's degree,free/reduced,none,57,78,67,67.33333333333333,202,21,1
female,group D,high school,standard,none,62,64,64,63.333333333333336,190,2,1
male,group D,master's degree,standard,none,73,70,75,72.66666666666667,218,-3,1
male,group E,some high school,free/reduced,completed,73,67,59,66.33333333333333,199,-6,1
female,group D,some college,standard,none,77,68,77,74.0,222,-9,1
male,group E,some college,standard,none,76,67,67,70.0,210,-9,1
male,group C,associate's degree,standard,completed,57,54,56,55.666666666666664,167,-3,1
female,group C,some high school,standard,completed,65,74,77,72.0,216,9,1
male,group A,high school,free/reduced,none,48,45,41,44.666666666666664,134,-3,1
